UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.069_N.40,PERAK,P.069,PARIT,N.40,BOTA,30148,23943,,,,,,,,,,,,,,,,PEJUANG,SHAHRIL HARAHAB,MALE,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070_N.41,PERAK,P.070,KAMPAR,N.41,MALIM NAWAR,29701,18618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,LEONG CHEOK KENG,MALE,,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070_N.42,PERAK,P.070,KAMPAR,N.42,KERANJI,28248,17566,,,,,,,,,,,GERAKAN,FOONG KAR SING,MALE,,1803,,,,,,,,,,,,,,,,WARISAN,PUAH CHEE HAUR,MALE,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070_N.43,PERAK,P.070,KAMPAR,N.43,TUALANG SEKAH,31945,23321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071_N.44,PERAK,P.071,GOPENG,N.44,SUNGAI RAPAT,47931,35942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,ROSHANITA BINTI MOHAMAD BASIR,FEMALE,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071_N.45,PERAK,P.071,GOPENG,N.45,SIMPANG PULAI,62756,44345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,HOOI MI SUET,FEMALE,29,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071_N.46,PERAK,P.071,GOPENG,N.46,TEJA,32970,23257,,,,,,,,,,,,,,,,PEJUANG,ASWANNUDIN BIN HARIFFUDIN,MALE,,214,,,,,,,,,,,WARISAN,LOW LEONG SIN,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.072_N.47,PERAK,P.072,TAPAH,N.47,CHENDERIANG,30006,21088,,,,,,,,,,,,,,,,PEJUANG,MOHD. AMIN BIN MAN,MALE,,134,,,,,,,,,,,WARISAN,AHMAD TARMIZI BIN MOHD GHAZALI,MALE,,93,,,,,,,,,,,INDEPENDENT - HOUSE,TERATAI A/P BAH AROM (ASLI SEMAI),FEMALE,42,1070,INDEPENDENT - TREE,ATAN KATERING,MALE,38,368,,,,,,,,,,,,,,
P.072_N.48,PERAK,P.072,TAPAH,N.48,AYER KUNING,31940,23466,,,,,,,,,,,,,,,,PEJUANG,MAZIAH BINTI SALIM,FEMALE,,105,,,,,,,,,,,,,,,,PSM,BAWANI KS,FEMALE,,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.073_N.49,PERAK,P.073,PASIR SALAK,N.49,SUNGAI MANIK,35520,26424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.073_N.50,PERAK,P.073,PASIR SALAK,N.50,KAMPONG GAJAH,39241,30634,,,,,,PAN,MOHD SYAMSUL BIN ALAUDDIN,MALE,37,2824,,,,,,PEJUANG,MOHD SAFIAN SAURI BIN PANDAK ABD SAMAD,MALE,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074_N.51,PERAK,P.074,LUMUT,N.51,PASIR PANJANG,62418,49161,,,,,,,,,,,,,,,,PEJUANG,DATO' MOHD NORAZLEE BIN MOHD,MALE,,339,,,,,,,,,,,WARISAN,NUR INDERASYAWALIS BIN AHMAD MUKHTAR,MALE,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074_N.52,PERAK,P.074,LUMUT,N.52,PANGKOR,30554,22008,,,,,,,,,,,,,,,,PEJUANG,MOHD AZLAN BIN SUHAIMI,MALE,,181,,,,,,,,,,,WARISAN,YAHAYA BIN AHMAD,MALE,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075_N.53,PERAK,P.075,BAGAN DATUK,N.53,RUNGKUP,19670,14174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075_N.54,PERAK,P.075,BAGAN DATUK,N.54,HUTAN MELINTANG,38513,27694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076_N.55,PERAK,P.076,TELUK INTAN,N.55,PASIR BEDAMAR,39117,27479,,,,,,,,,,,PAS,S.SURIA,MALE,58,2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076_N.56,PERAK,P.076,TELUK INTAN,N.56,CHANGKAT JONG,48105,36733,,,,,,,,,,,,,,,,PEJUANG,MUHAMMAD AMIRUL MAHFUZ,MALE,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077_N.57,PERAK,P.077,TANJONG MALIM,N.57,SUNGKAI,23375,16192,,,,,,,,,,,PAS,THILAK RAJ A/L GUNASEKARAN,MALE,33,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - DONKEY,CIKGU MAHHADEE,MALE,,588,,,,,,,,,,,,,,,,,,,
P.077_N.58,PERAK,P.077,TANJONG MALIM,N.58,SLIM,30581,23546,,,,,,,,,,,,,,,,PEJUANG,USTAZ MEOR AZIM,MALE,32,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077_N.59,PERAK,P.077,TANJONG MALIM,N.59,BEHRANG,39917,30029,,,,,,,,,,,,,,,,PEJUANG,HAZVEE BIN HAFIZ,MALE,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078_N.01,PAHANG,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,26838,18581,,,,,,,,,,,GERAKAN,LAI CHII,MALE,,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078_N.02,PAHANG,P.078,CAMERON HIGHLANDS,N.02,JELAI,19182,14614,,,,,,PKR,ISMAIL BIN MOHD HUSSIN,MALE,51,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.03,PAHANG,P.079,LIPIS,N.03,PADANG TENGKU,19407,15268,,,,,,PAN,RUZI @ NATA BIN YUSUFF,MALE,54,1203,,,,,,PEJUANG,MOHD ROSTAM BIN MUSTAPHA,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.04,PAHANG,P.079,LIPIS,N.04,CHEKA,16822,12381,,,,,,,,,,,,,,,,PEJUANG,AISHATON BINTI ABU BAKAR,FEMALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.05,PAHANG,P.079,LIPIS,N.05,BENTA,10895,8189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.06,PAHANG,P.080,RAUB,N.06,BATU TALAM,19683,15084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.07,PAHANG,P.080,RAUB,N.07,TRAS,38329,27686,,,,,,,,,,,,,,,,PEJUANG,USTAZ TAHIR,MALE,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.08,PAHANG,P.080,RAUB,N.08,DONG,17052,13547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.09,PAHANG,P.081,JERANTUT,N.09,TAHAN,20895,16264,,,,,,PAN,TALIB TAHAR,MALE,59,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.10,PAHANG,P.081,JERANTUT,N.10,DAMAK,34967,26207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,IZZUDDIN BIN ISMAIL,MALE,,82,,,,,,,,,,,,,,,,,,,
P.081_N.11,PAHANG,P.081,JERANTUT,N.11,PULAU TAWAR,31189,24239,,,,,,PAN,NORANI IJAM,MALE,53,1129,,,,,,PEJUANG,MOHD ROSIDI BIN HASSAN,MALE,,50,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DATO' RIDZUAN BIN MANSOR,MALE,48,553,,,,,,,,,,,,,,,,,,,
P.082_N.12,PAHANG,P.082,INDERA MAHKOTA,N.12,BESERAH,59370,46079,,,,,,,,,,,,,,,,PEJUANG,CIKGU MOHD PAUZI,MALE,,394,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOSEPH TANG,MALE,45,126,,,,,,,,,,,,,,,,,,,
P.082_N.13,PAHANG,P.082,INDERA MAHKOTA,N.13,SEMAMBU,61179,47242,,,,,,,,,,,,,,,,BERJASA,DR RASHIDAH BINTI ABDUL RAHMAN,FEMALE,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.14,PAHANG,P.083,KUANTAN,N.14,TERUNTUM,30854,22143,,,,,,,,,,,,,,,,PEJUANG,KHAIRUL AFIFIE BIN ABDULLAH,MALE,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.15,PAHANG,P.083,KUANTAN,N.15,TANJUNG LUMPUR,38185,30372,,,,,,,,,,,,,,,,PEJUANG,AB 'ALIM BIN RUSLAM AHMAD,MALE,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.16,PAHANG,P.083,KUANTAN,N.16,INDERAPURA,18558,15230,,,,,,,,,,,,,,,,PEJUANG,NORASHIKIN BINTI ISMAIL,FEMALE,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.17,PAHANG,P.084,PAYA BESAR,N.17,SUNGAI LEMBING,19130,14694,,,,,,PKR,DATO SRI AHMAD OMAR,MALE,66,1738,,,,,,PEJUANG,MEJAR ANUAR TAJUDDIN (B),MALE,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.18,PAHANG,P.084,PAYA BESAR,N.18,LEPAR,25728,19722,,,,,,,,,,,,,,,,PEJUANG,Ir. ROSMINAHAR,MALE,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.19,PAHANG,P.084,PAYA BESAR,N.19,PANCHING,34886,27571,,,,,,,,,,,,,,,,PEJUANG,AFIF SYAIROL,MALE,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.20,PAHANG,P.085,PEKAN,N.20,PULAU MANIS,30113,24098,,,,,,DAP,KHAIRIL KHALID,MALE,33,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.21,PAHANG,P.085,PEKAN,N.21,PERAMU JAYA,41915,33555,,,,,,PAN,TUGIMON BIN ABDUL HAMID,MALE,64,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,,193,,,,,,,,,,,,,,,,,,,
P.085_N.22,PAHANG,P.085,PEKAN,N.22,BEBAR,21294,15563,,,,,,PAN,IBRAHIM BIN SULAIMAN,MALE,64,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.23,PAHANG,P.085,PEKAN,N.23,CHINI,26121,19884,,,,,,PKR,MOHAMAD YAZID BIN CHE MAT,MALE,48,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.24,PAHANG,P.086,MARAN,N.24,LUIT,16279,12422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.25,PAHANG,P.086,MARAN,N.25,KUALA SENTUL,17434,13014,,,,,,PKR,AMRAN BIN TAHIR,MALE,47,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.26,PAHANG,P.086,MARAN,N.26,CHENOR,19415,15641,,,,,,PAN,SHAM SUKIE,MALE,48,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.27,PAHANG,P.087,KUALA KRAU,N.27,JENDERAK,13994,10811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.28,PAHANG,P.087,KUALA KRAU,N.28,KERDAU,15184,12121,,,,,,PAN,AHMAD ARIF BIN MD DAUD,MALE,30,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.29,PAHANG,P.087,KUALA KRAU,N.29,JENGKA,31359,24825,,,,,,PAN,USTAZ JAMALUDDIN,MALE,56,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088_N.30,PAHANG,P.088,TEMERLOH,N.30,MENTAKAB,37269,28436,,,,,,,,,,,,,,,,PEJUANG,ABDUL WAHAB BIN KADIR,MALE,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088_N.31,PAHANG,P.088,TEMERLOH,N.31,LANCHANG,32774,24968,,,,,,,,,,,,,,,,PEJUANG,LT KOL ZAINI BIN MOHAMAD (B),MALE,55,328,,,,,,,,,,,,,,,,PRM,JAMIL YAAKUB,MALE,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088_N.32,PAHANG,P.088,TEMERLOH,N.32,KUALA SEMANTAN,36786,29177,,,,,,,,,,,,,,,,PEJUANG,SYAFIQ KHAIDIR,MALE,28,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.33,PAHANG,P.089,BENTONG,N.33,BILUT,24286,18475,,,,,,,,,,,,,,,,PEJUANG,MOHD SHOKRI,MALE,52,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.34,PAHANG,P.089,BENTONG,N.34,KETARI,30758,23614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.35,PAHANG,P.089,BENTONG,N.35,SABAI,15643,11845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089_N.36,PAHANG,P.089,BENTONG,N.36,PELANGAI,16371,12664,,,,,,,,,,,,,,,,PEJUANG,ISA BIN AHMAD,MALE,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090_N.37,PAHANG,P.090,BERA,N.37,GUAI,24412,19055,,,,,,PAN,HAJAH NORAINI ABDUL GHANI,FEMALE,,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,JAFARI MOHD YUSOF,MALE,,977,,,,,,,,,,,,,,,,,,,
P.090_N.38,PAHANG,P.090,BERA,N.38,TRIANG,25891,18970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090_N.39,PAHANG,P.090,BERA,N.39,KEMAYAN,27366,20643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091_N.40,PAHANG,P.091,ROMPIN,N.40,BUKIT IBAM,31003,23616,,,,,,PKR,BARIRAH MOKHTAR,FEMALE,61,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091_N.41,PAHANG,P.091,ROMPIN,N.41,MUADZAM SHAH,29663,22269,,,,,,PKR,NORLAILY FORIZAD,FEMALE,33,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091_N.42,PAHANG,P.091,ROMPIN,N.42,TIOMAN,28465,16508,,,,,,PAN,MOHD FADZLI BIN MOHD RAMLY,MALE,44,784,,,,,,PUTRA,CIKGU OSMAN BAKAR,MALE,,79,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PRAWN,SULAIMAN BIN BAKAR,MALE,57,58,,,,,,,,,,,,,,,,,,,
P.189_N.66,SABAH,P.189,SEMPORNA,N.66,BUGAYA,32761,17768,,,,,,PKR,ARASTAM BIN PANDOROG,MALE,60,562,,,,,,PEJUANG,MOHD HASSAN BIN ABU BAKAR,MALE,,130,,,,,,,,,,,,,,,,PBM,NAZMAHWATI BINTI WALLI ,FEMALE,,98,PPRS,KARIL BIN PG. KURAINI,MALE,76,150,INDEPENDENT - SAMPAN,JUFAZLI BIN SHI AHMAD @ TONGKO,MALE,33,693,,,,,,,,,,,,,,,,,,,
